year,month,average_temperature_f,temperature_anomaly_f,state
2019,11,50.6,-2.9,Alabama
2019,12,51.3,4.9,Alabama
2020,1,49.5,4.4,Alabama
2020,2,51,3,Alabama
2020,3,63.5,8.4,Alabama
2020,4,62,-0.9,Alabama
2020,5,68.9,-1.8,Alabama
2020,6,76.9,-0.6,Alabama
2020,7,80.9,1,Alabama
2020,8,80.2,0.8,Alabama
2020,9,74.3,-0.4,Alabama
2020,10,66.9,3,Alabama
2020,11,58.4,4.9,Alabama
2020,12,45.9,-0.5,Alabama
2010,1,1.5,-0.7,Alaska
2010,2,10.8,6,Alaska
2010,3,9.8,-1,Alaska
2010,4,26.9,3.6,Alaska
2010,5,41.3,3.5,Alaska
2010,6,49.5,0.3,Alaska
2010,7,52.1,-0.6,Alaska
2010,8,51.5,2,Alaska
2010,9,42.8,2.2,Alaska
2010,10,27.6,2.1,Alaska
2010,11,17.7,6,Alaska
2010,12,-2.4,-6.1,Alaska
2011,1,7,4.8,Alaska
2011,2,6,1.2,Alaska
2011,3,11.9,1.1,Alaska
2011,4,23.2,-0.1,Alaska
2011,5,40.5,2.7,Alaska
2011,6,49.8,0.6,Alaska
2011,7,52.1,-0.6,Alaska
2011,8,49,-0.5,Alaska
2011,9,42.4,1.8,Alaska
2011,10,28.5,3,Alaska
2011,11,3.6,-8.1,Alaska
2011,12,9.4,5.7,Alaska
2012,1,-12.8,-15,Alaska
2012,2,12.1,7.3,Alaska
2012,3,4.3,-6.5,Alaska
2012,4,27.3,4,Alaska
2012,5,37.2,-0.6,Alaska
2012,6,50.4,1.2,Alaska
2012,7,52,-0.7,Alaska
2012,8,49.9,0.4,Alaska
2012,9,40.6,0,Alaska
2012,10,25.5,0,Alaska
2012,11,6,-5.7,Alaska
2012,12,-0.8,-4.5,Alaska
2013,1,9.8,7.6,Alaska
2013,2,6.3,1.5,Alaska
2013,3,11,0.2,Alaska
2013,4,16.7,-6.6,Alaska
2013,5,35.2,-2.6,Alaska
2013,6,53.9,4.7,Alaska
2013,7,55,2.3,Alaska
2013,8,51.4,1.9,Alaska
2013,9,39.6,-1,Alaska
2013,10,34,8.5,Alaska
2013,11,13.7,2,Alaska
2013,12,7,3.3,Alaska
2014,1,18.4,16.2,Alaska
2014,2,6.7,1.9,Alaska
2014,3,14.1,3.3,Alaska
2014,4,27.4,4.1,Alaska
2014,5,41.9,4.1,Alaska
2014,6,48.1,-1.1,Alaska
2014,7,52.7,0,Alaska
2014,8,52,2.5,Alaska
2014,9,42.3,1.7,Alaska
2014,10,25.8,0.3,Alaska
2014,11,19.6,7.9,Alaska
2014,12,15,11.3,Alaska
2015,1,7.1,4.9,Alaska
2015,2,12.6,7.8,Alaska
2015,3,15.9,5.1,Alaska
2015,4,28.2,4.9,Alaska
2015,5,44.8,7,Alaska
2015,6,52.3,3.1,Alaska
2015,7,54.2,1.5,Alaska
2015,8,49.3,-0.2,Alaska
2015,9,38.9,-1.7,Alaska
2015,10,31.6,6.1,Alaska
2015,11,17.2,5.5,Alaska
2015,12,8.3,4.6,Alaska
2016,1,17.2,15,Alaska
2016,2,17.3,12.5,Alaska
2016,3,18.7,7.9,Alaska
2016,4,33.3,10,Alaska
2016,5,44,6.2,Alaska
2016,6,51.8,2.6,Alaska
2016,7,55.6,2.9,Alaska
2016,8,53.2,3.7,Alaska
2016,9,42.3,1.7,Alaska
2016,10,29.7,4.2,Alaska
2016,11,13.3,1.6,Alaska
2016,12,6.2,2.5,Alaska
2017,1,4.5,2.3,Alaska
2017,2,6.6,1.8,Alaska
2017,3,4.9,-5.9,Alaska
2017,4,29.6,6.3,Alaska
2017,5,40.8,3,Alaska
2017,6,51.4,2.2,Alaska
2017,7,56.2,3.5,Alaska
2017,8,50.2,0.7,Alaska
2017,9,42.6,2,Alaska
2017,10,30.2,4.7,Alaska
2017,11,15.8,4.1,Alaska
2017,12,19.1,15.4,Alaska
2018,1,6.7,4.5,Alaska
2018,2,12.6,7.8,Alaska
2018,3,18,7.2,Alaska
2018,4,26.8,3.5,Alaska
2018,5,39.4,1.6,Alaska
2018,6,50,0.8,Alaska
2018,7,55.6,2.9,Alaska
2018,8,49.6,0.1,Alaska
2018,9,44.3,3.7,Alaska
2018,10,33.8,8.3,Alaska
2018,11,19.1,7.4,Alaska
2018,12,9.1,5.4,Alaska
2019,1,7.5,5.3,Alaska
2019,2,15.5,10.7,Alaska
2019,3,26.5,15.7,Alaska
2019,4,28.5,5.2,Alaska
2019,5,43,5.2,Alaska
2019,6,54,4.8,Alaska
2019,7,58.1,5.4,Alaska
2019,8,51.5,2,Alaska
2019,9,44.4,3.8,Alaska
2019,10,30.8,5.3,Alaska
2019,11,19.8,8.1,Alaska
2019,12,6.7,3,Alaska
2020,1,-6.4,-8.6,Alaska
2020,2,1.5,-3.3,Alaska
2020,3,12,1.2,Alaska
2020,4,27.5,4.2,Alaska
2020,5,43.3,5.5,Alaska
2020,6,50.5,1.3,Alaska
2020,7,53.2,0.5,Alaska
2020,8,52.1,2.6,Alaska
2020,9,42,1.4,Alaska
2020,10,28.9,3.4,Alaska
2020,11,14.5,2.8,Alaska
2020,12,10.6,6.9,Alaska
2010,1,42.2,1.5,Arizona
2010,2,44.3,-0.4,Arizona
2010,3,49.2,-0.3,Arizona
2010,4,56.1,-0.6,Arizona
2010,5,63.1,-2,Arizona
2010,6,75.9,1.5,Arizona
2010,7,81.8,2.1,Arizona
2010,8,79,1.2,Arizona
2010,9,75.4,3.4,Arizona
2010,10,62.7,1.7,Arizona
2010,11,48.3,-0.9,Arizona
2010,12,46.7,5.2,Arizona
2011,1,41.5,0.8,Arizona
2011,2,41.7,-3,Arizona
2011,3,53.3,3.8,Arizona
2011,4,58.9,2.2,Arizona
2011,5,63.2,-1.9,Arizona
2011,6,75.7,1.3,Arizona
2011,7,80.8,1.1,Arizona
2011,8,82.2,4.4,Arizona
2011,9,74.6,2.6,Arizona
2011,10,62.8,1.8,Arizona
2011,11,49.4,0.2,Arizona
2011,12,39.9,-1.6,Arizona
2012,1,45.3,4.6,Arizona
2012,2,45.6,0.9,Arizona
2012,3,51.6,2.1,Arizona
2012,4,60.6,3.9,Arizona
2012,5,69.3,4.2,Arizona
2012,6,78.7,4.3,Arizona
2012,7,80,0.3,Arizona
2012,8,80.5,2.7,Arizona
2012,9,73.7,1.7,Arizona
2012,10,63.8,2.8,Arizona
2012,11,53.8,4.6,Arizona
2012,12,42.4,0.9,Arizona
2013,1,38.6,-2.1,Arizona
2013,2,42.2,-2.5,Arizona
2013,3,54.8,5.3,Arizona
2013,4,59.4,2.7,Arizona
2013,5,67.4,2.3,Arizona
2013,6,79.5,5.1,Arizona
2013,7,81,1.3,Arizona
2013,8,78.5,0.7,Arizona
2013,9,72.4,0.4,Arizona
2013,10,58.8,-2.2,Arizona
2013,11,51.3,2.1,Arizona
2013,12,41.5,0,Arizona
2014,1,46.5,5.8,Arizona
2014,2,50,5.3,Arizona
2014,3,53.9,4.4,Arizona
2014,4,59.1,2.4,Arizona
2014,5,66.8,1.7,Arizona
2014,6,77.7,3.3,Arizona
2014,7,81.4,1.7,Arizona
2014,8,76.5,-1.3,Arizona
2014,9,74.2,2.2,Arizona
2014,10,64.9,3.9,Arizona
2014,11,51.7,2.5,Arizona
2014,12,44.3,2.8,Arizona
2015,1,45.1,4.4,Arizona
2015,2,52,7.3,Arizona
2015,3,56.3,6.8,Arizona
2015,4,58.4,1.7,Arizona
2015,5,62.9,-2.2,Arizona
2015,6,78.4,4,Arizona
2015,7,78.6,-1.1,Arizona
2015,8,80.6,2.8,Arizona
2015,9,75,3,Arizona
2015,10,64.5,3.5,Arizona
2015,11,48.3,-0.9,Arizona
2015,12,40.9,-0.6,Arizona
2016,1,41.8,1.1,Arizona
2016,2,50.6,5.9,Arizona
2016,3,54.9,5.4,Arizona
2016,4,58.5,1.8,Arizona
2016,5,64.6,-0.5,Arizona
2016,6,80.3,5.9,Arizona
2016,7,82.4,2.7,Arizona
2016,8,77.5,-0.3,Arizona
2016,9,71.6,-0.4,Arizona
2016,10,66.1,5.1,Arizona
2016,11,53.1,3.9,Arizona
2016,12,44.7,3.2,Arizona
2017,1,42.3,1.6,Arizona
2017,2,49.4,4.7,Arizona
2017,3,56.6,7.1,Arizona
2017,4,59.9,3.2,Arizona
2017,5,66.1,1,Arizona
2017,6,79.8,5.4,Arizona
2017,7,81.5,1.8,Arizona
2017,8,79.1,1.3,Arizona
2017,9,72.4,0.4,Arizona
2017,10,65.1,4.1,Arizona
2017,11,57.6,8.4,Arizona
2017,12,46.6,5.1,Arizona
2018,1,47.6,6.9,Arizona
2018,2,46.7,2,Arizona
2018,3,52.3,2.8,Arizona
2018,4,62.9,6.2,Arizona
2018,5,68.5,3.4,Arizona
2018,6,78.6,4.2,Arizona
2018,7,82.3,2.6,Arizona
2018,8,80.2,2.4,Arizona
2018,9,76,4,Arizona
2018,10,59.9,-1.1,Arizona
2018,11,49.4,0.2,Arizona
2018,12,42.8,1.3,Arizona
2019,1,42.4,1.7,Arizona
2019,2,40.9,-3.8,Arizona
2019,3,51.7,2.2,Arizona
2019,4,60.3,3.6,Arizona
2019,5,60.7,-4.4,Arizona
2019,6,75.2,0.8,Arizona
2019,7,81.9,2.2,Arizona
2019,8,81.9,4.1,Arizona
2019,9,73.8,1.8,Arizona
2019,10,60,-1,Arizona
2019,11,52.1,2.9,Arizona
2019,12,42.2,0.7,Arizona
2020,1,43.7,3,Arizona
2020,2,45.9,1.2,Arizona
2020,3,51,1.5,Arizona
2020,4,59.3,2.6,Arizona
2020,5,70.5,5.4,Arizona
2020,6,76.8,2.4,Arizona
2020,7,82.8,3.1,Arizona
2020,8,84.1,6.3,Arizona
2020,9,75.6,3.6,Arizona
2020,10,66.2,5.2,Arizona
2020,11,53.5,4.3,Arizona
2020,12,42,0.5,Arizona
2010,1,36.5,-2.8,Arkansas
2010,2,36.5,-6.6,Arkansas
2010,3,50.5,-0.8,Arkansas
2010,4,63.4,2.9,Arkansas
2010,5,71.3,2.6,Arkansas
2010,6,81.6,5.1,Arkansas
2010,7,82,1.7,Arkansas
2010,8,83.9,4.5,Arkansas
2010,9,74.8,1.9,Arkansas
2010,10,62.7,0.9,Arkansas
2010,11,52,2.1,Arkansas
2010,12,38.9,-2.6,Arkansas
2011,1,37.6,-1.7,Arkansas
2011,2,43.9,0.8,Arkansas
2011,3,52.5,1.2,Arkansas
2011,4,63.5,3,Arkansas
2011,5,67.3,-1.4,Arkansas
2011,6,81.7,5.2,Arkansas
2011,7,84.7,4.4,Arkansas
2011,8,83.1,3.7,Arkansas
2011,9,70.2,-2.7,Arkansas
2011,10,60.6,-1.2,Arkansas
2011,11,53.4,3.5,Arkansas
2011,12,43.3,1.8,Arkansas
2012,1,44.6,5.3,Arkansas
2012,2,47.2,4.1,Arkansas
2012,3,62.2,10.9,Arkansas
2012,4,64.4,3.9,Arkansas
2012,5,73.2,4.5,Arkansas
2012,6,78,1.5,Arkansas
2012,7,84.1,3.8,Arkansas
2012,8,80.2,0.8,Arkansas
2012,9,73.5,0.6,Arkansas
2012,10,59.3,-2.5,Arkansas
2012,11,50.2,0.3,Arkansas
2012,12,46.4,4.9,Arkansas
2013,1,42.1,2.8,Arkansas
2013,2,43.3,0.2,Arkansas
2013,3,46.6,-4.7,Arkansas
2013,4,58.5,-2,Arkansas
2013,5,67.2,-1.5,Arkansas
2013,6,77.1,0.6,Arkansas
2013,7,78,-2.3,Arkansas
2013,8,78.4,-1,Arkansas
2013,9,75.4,2.5,Arkansas
2013,10,61.5,-0.3,Arkansas
2013,11,47.5,-2.4,Arkansas
2013,12,40.1,-1.4,Arkansas
2014,1,35.2,-4.1,Arkansas
2014,2,38.8,-4.3,Arkansas
2014,3,46.5,-4.8,Arkansas
2014,4,59.6,-0.9,Arkansas
2014,5,68.1,-0.6,Arkansas
2014,6,76.7,0.2,Arkansas
2014,7,75.4,-4.9,Arkansas
2014,8,78.7,-0.7,Arkansas
2014,9,72.6,-0.3,Arkansas
2014,10,63.7,1.9,Arkansas
2014,11,44.9,-5,Arkansas
2014,12,43.8,2.3,Arkansas
2015,1,38.6,-0.7,Arkansas
2015,2,36.1,-7,Arkansas
2015,3,49.7,-1.6,Arkansas
2015,4,62.5,2,Arkansas
2015,5,69.3,0.6,Arkansas
2015,6,78.1,1.6,Arkansas
2015,7,81.9,1.6,Arkansas
2015,8,78.1,-1.3,Arkansas
2015,9,74.8,1.9,Arkansas
2015,10,63.5,1.7,Arkansas
2015,11,54.2,4.3,Arkansas
2015,12,50,8.5,Arkansas
2016,1,39.5,0.2,Arkansas
2016,2,46.9,3.8,Arkansas
2016,3,55.5,4.2,Arkansas
2016,4,62.5,2,Arkansas
2016,5,67.2,-1.5,Arkansas
2016,6,78.9,2.4,Arkansas
2016,7,82,1.7,Arkansas
2016,8,80,0.6,Arkansas
2016,9,75.8,2.9,Arkansas
2016,10,67,5.2,Arkansas
2016,11,55.7,5.8,Arkansas
2016,12,42.5,1,Arkansas
2017,1,45.2,5.9,Arkansas
2017,2,52.5,9.4,Arkansas
2017,3,55.7,4.4,Arkansas
2017,4,64.2,3.7,Arkansas
2017,5,67.7,-1,Arkansas
2017,6,75.5,-1,Arkansas
2017,7,80.6,0.3,Arkansas
2017,8,76.9,-2.5,Arkansas
2017,9,73.2,0.3,Arkansas
2017,10,62.9,1.1,Arkansas
2017,11,53.7,3.8,Arkansas
2017,12,42.4,0.9,Arkansas
2018,1,35.7,-3.6,Arkansas
2018,2,45.9,2.8,Arkansas
2018,3,53.9,2.6,Arkansas
2018,4,55.2,-5.3,Arkansas
2018,5,75,6.3,Arkansas
2018,6,80.1,3.6,Arkansas
2018,7,81.8,1.5,Arkansas
2018,8,78.8,-0.6,Arkansas
2018,9,75,2.1,Arkansas
2018,10,62.6,0.8,Arkansas
2018,11,45.8,-4.1,Arkansas
2018,12,44.2,2.7,Arkansas
2019,1,40.8,1.5,Arkansas
2019,2,46,2.9,Arkansas
2019,3,48.9,-2.4,Arkansas
2019,4,60.8,0.3,Arkansas
2019,5,70.6,1.9,Arkansas
2019,6,75.6,-0.9,Arkansas
2019,7,79,-1.3,Arkansas
2019,8,80.3,0.9,Arkansas
2019,9,79.7,6.8,Arkansas
2019,10,60.8,-1,Arkansas
2019,11,46.4,-3.5,Arkansas
2019,12,45.7,4.2,Arkansas
2020,1,43.9,4.6,Arkansas
2020,2,44.5,1.4,Arkansas
2020,3,56.5,5.2,Arkansas
2020,4,58.8,-1.7,Arkansas
2020,5,66.8,-1.9,Arkansas
2020,6,76.4,-0.1,Arkansas
2020,7,81.3,1,Arkansas
2020,8,77.8,-1.6,Arkansas
2020,9,71.8,-1.1,Arkansas
2020,10,59.4,-2.4,Arkansas
2020,11,54,4.1,Arkansas
2020,12,42.6,1.1,Arkansas
2010,1,45.2,2.8,California
2010,2,46.8,1.4,California
2010,3,49,0.2,California
2010,4,50.9,-3.1,California
2010,5,56.9,-3.9,California
2010,6,69.1,0.8,California
2010,7,76.1,1.4,California
2010,8,73.4,-0.3,California
2010,9,70.4,2,California
2010,10,60.5,1,California
2010,11,48.6,-1,California
2010,12,45.8,2.7,California
2011,1,45.2,2.8,California
2011,2,43.4,-2,California
2011,3,48.7,-0.1,California
2011,4,53.4,-0.6,California
2011,5,57.6,-3.2,California
2011,6,66.9,-1.4,California
2011,7,74.2,-0.5,California
2011,8,75.2,1.5,California
2011,9,72.2,3.8,California
2011,10,61.4,1.9,California
2011,11,48.2,-1.4,California
2011,12,42.8,-0.3,California
2012,1,46.5,4.1,California
2012,2,46.5,1.1,California
2012,3,48.8,0,California
2012,4,55.8,1.8,California
2012,5,63.9,3.1,California
2012,6,69.3,1,California
2012,7,74.7,0,California
2012,8,77.8,4.1,California
2012,9,73.1,4.7,California
2012,10,62.2,2.7,California
2012,11,52.5,2.9,California
2012,12,43,-0.1,California
2013,1,42.1,-0.3,California
2013,2,45.3,-0.1,California
2013,3,53.8,5,California
2013,4,58.2,4.2,California
2013,5,63.8,3,California
2013,6,72.4,4.1,California
2013,7,78,3.3,California
2013,8,74.4,0.7,California
2013,9,69.3,0.9,California
2013,10,58.5,-1,California
2013,11,51.9,2.3,California
2013,12,44.1,1,California
2014,1,50.1,7.7,California
2014,2,49.8,4.4,California
2014,3,53.5,4.7,California
2014,4,57.7,3.7,California
2014,5,64.6,3.8,California
2014,6,71.9,3.6,California
2014,7,78.4,3.7,California
2014,8,74.9,1.2,California
2014,9,72.2,3.8,California
2014,10,64.4,4.9,California
2014,11,53.1,3.5,California
2014,12,46.8,3.7,California
2015,1,48.6,6.2,California
2015,2,53.2,7.8,California
2015,3,56.9,8.1,California
2015,4,56.7,2.7,California
2015,5,60.8,0,California
2015,6,74.4,6.1,California
2015,7,75,0.3,California
2015,8,76.5,2.8,California
2015,9,72.1,3.7,California
2015,10,65,5.5,California
2015,11,47.6,-2,California
2015,12,42.3,-0.8,California
2016,1,44.5,2.1,California
2016,2,51.8,6.4,California
2016,3,52.5,3.7,California
2016,4,57.9,3.9,California
2016,5,62.2,1.4,California
2016,6,73.5,5.2,California
2016,7,76.8,2.1,California
2016,8,76.2,2.5,California
2016,9,69.5,1.1,California
2016,10,60.5,1,California
2016,11,52.8,3.2,California
2016,12,43.4,0.3,California
2017,1,42.2,-0.2,California
2017,2,47.3,1.9,California
2017,3,53.4,4.6,California
2017,4,55.6,1.6,California
2017,5,63.4,2.6,California
2017,6,72.8,4.5,California
2017,7,78.8,4.1,California
2017,8,77.9,4.2,California
2017,9,69.8,1.4,California
2017,10,62,2.5,California
2017,11,53.4,3.8,California
2017,12,47.5,4.4,California
2018,1,48.9,6.5,California
2018,2,46.6,1.2,California
2018,3,49,0.2,California
2018,4,57.2,3.2,California
2018,5,63,2.2,California
2018,6,71.4,3.1,California
2018,7,79.6,4.9,California
2018,8,76.4,2.7,California
2018,9,71.1,2.7,California
2018,10,60.9,1.4,California
2018,11,52.6,3,California
2018,12,44.8,1.7,California
2019,1,46.1,3.7,California
2019,2,40.6,-4.8,California
2019,3,48.9,0.1,California
2019,4,58.2,4.2,California
2019,5,58.6,-2.2,California
2019,6,71.1,2.8,California
2019,7,75.5,0.8,California
2019,8,76.8,3.1,California
2019,9,68.9,0.5,California
2019,10,58.8,-0.7,California
2019,11,53,3.4,California
2019,12,44.4,1.3,California
2020,1,45.3,2.9,California
2020,2,49.2,3.8,California
2020,3,48,-0.8,California
2020,4,56.6,2.6,California
2020,5,64.6,3.8,California
2020,6,70.4,2.1,California
2020,7,76.6,1.9,California
2020,8,78.9,5.2,California
2020,9,74,5.6,California
2020,10,66.2,6.7,California
2020,11,50.9,1.3,California
2020,12,45.5,2.4,California
2010,1,26.1,2.3,Colorado
2010,2,24.6,-2.8,Colorado
2010,3,35.2,1.5,Colorado
2010,4,43.6,1.1,Colorado
2010,5,50.1,-1.7,Colorado
2010,6,64,2.7,Colorado
2010,7,68.6,1.5,Colorado
2010,8,66.5,1.3,Colorado
2010,9,61.2,3.9,Colorado
2010,10,49.2,2.7,Colorado
2010,11,33.6,0.1,Colorado
2010,12,31.1,5.9,Colorado
2011,1,24,0.2,Colorado
2011,2,24.2,-3.2,Colorado
2011,3,37.7,4,Colorado
2011,4,43,0.5,Colorado
2011,5,49.3,-2.5,Colorado
2011,6,62.9,1.6,Colorado
2011,7,70,2.9,Colorado
2011,8,69.2,4,Colorado
2011,9,58.5,1.2,Colorado
2011,10,47.1,0.6,Colorado
2011,11,34.9,1.4,Colorado
2011,12,24.4,-0.8,Colorado
2012,1,29.4,5.6,Colorado
2012,2,27.4,0,Colorado
2012,3,41.9,8.2,Colorado
2012,4,48.2,5.7,Colorado
2012,5,55.4,3.6,Colorado
2012,6,67.9,6.6,Colorado
2012,7,70.6,3.5,Colorado
2012,8,67.7,2.5,Colorado
2012,9,59.5,2.2,Colorado
2012,10,46.5,0,Colorado
2012,11,39.4,5.9,Colorado
2012,12,25.9,0.7,Colorado
2013,1,22.9,-0.9,Colorado
2013,2,25.7,-1.7,Colorado
2013,3,35,1.3,Colorado
2013,4,39.8,-2.7,Colorado
2013,5,52.8,1,Colorado
2013,6,65.6,4.3,Colorado
2013,7,68.5,1.4,Colorado
2013,8,67,1.8,Colorado
2013,9,60.7,3.4,Colorado
2013,10,44.2,-2.3,Colorado
2013,11,35.2,1.7,Colorado
2013,12,23.7,-1.5,Colorado
2014,1,26.4,2.6,Colorado
2014,2,27.6,0.2,Colorado
2014,3,36.3,2.6,Colorado
2014,4,43.3,0.8,Colorado
2014,5,52.4,0.6,Colorado
2014,6,62.5,1.2,Colorado
2014,7,68.4,1.3,Colorado
2014,8,64.6,-0.6,Colorado
2014,9,60,2.7,Colorado
2014,10,49.9,3.4,Colorado
2014,11,33.4,-0.1,Colorado
2014,12,27.9,2.7,Colorado
2015,1,29.2,5.4,Colorado
2015,2,32.1,4.7,Colorado
2015,3,40.6,6.9,Colorado
2015,4,44.8,2.3,Colorado
2015,5,49.8,-2,Colorado
2015,6,64.9,3.6,Colorado
2015,7,66.6,-0.5,Colorado
2015,8,66.9,1.7,Colorado
2015,9,62.6,5.3,Colorado
2015,10,51.4,4.9,Colorado
2015,11,34.6,1.1,Colorado
2015,12,25.8,0.6,Colorado
2016,1,25.6,1.8,Colorado
2016,2,32.4,5,Colorado
2016,3,37.9,4.2,Colorado
2016,4,43.7,1.2,Colorado
2016,5,50.8,-1,Colorado
2016,6,66.4,5.1,Colorado
2016,7,69.2,2.1,Colorado
2016,8,64.5,-0.7,Colorado
2016,9,59.7,2.4,Colorado
2016,10,51.8,5.3,Colorado
2016,11,40.2,6.7,Colorado
2016,12,25.2,0,Colorado
2017,1,25.3,1.5,Colorado
2017,2,35.4,8,Colorado
2017,3,42.5,8.8,Colorado
2017,4,44.3,1.8,Colorado
2017,5,51.5,-0.3,Colorado
2017,6,64.8,3.5,Colorado
2017,7,69.4,2.3,Colorado
2017,8,64.7,-0.5,Colorado
2017,9,59.1,1.8,Colorado
2017,10,46.7,0.2,Colorado
2017,11,41.3,7.8,Colorado
2017,12,30.1,4.9,Colorado
2018,1,29.7,5.9,Colorado
2018,2,28.6,1.2,Colorado
2018,3,37.8,4.1,Colorado
2018,4,44,1.5,Colorado
2018,5,57.2,5.4,Colorado
2018,6,66.5,5.2,Colorado
2018,7,70,2.9,Colorado
2018,8,66.2,1,Colorado
2018,9,61.9,4.6,Colorado
2018,10,45,-1.5,Colorado
2018,11,32.5,-1,Colorado
2018,12,26.6,1.4,Colorado
2019,1,26,2.2,Colorado
2019,2,24.9,-2.5,Colorado
2019,3,33.8,0.1,Colorado
2019,4,45.5,3,Colorado
2019,5,47.9,-3.9,Colorado
2019,6,60.6,-0.7,Colorado
2019,7,69.1,2,Colorado
2019,8,68.3,3.1,Colorado
2019,9,62.9,5.6,Colorado
2019,10,40.9,-5.6,Colorado
2019,11,35.2,1.7,Colorado
2019,12,28.1,2.9,Colorado
2020,1,27.4,3.6,Colorado
2020,2,26.4,-1,Colorado
2020,3,38.8,5.1,Colorado
2020,4,43.4,0.9,Colorado
2020,5,55.6,3.8,Colorado
2020,6,65,3.7,Colorado
2020,7,69.3,2.2,Colorado
2020,8,70.1,4.9,Colorado
2020,9,58.8,1.5,Colorado
2020,10,47.1,0.6,Colorado
2020,11,38.5,5,Colorado
2020,12,26.7,1.5,Colorado
2010,1,33.4,0.1,Delaware
2010,2,31.4,-2.9,Delaware
2010,3,48.1,5.4,Delaware
2010,4,57.5,5.5,Delaware
2010,5,66.2,4,Delaware
