year,month,precipitation_inches,precipitation_anomaly_inches,state
2011,12,1.55,0.38,Arizona
2012,1,0.26,-0.87,Arizona
2012,2,0.43,-0.71,Arizona
2012,3,0.69,-0.42,Arizona
2012,4,0.32,-0.26,Arizona
2012,5,0.05,-0.29,Arizona
2012,6,0.08,-0.21,Arizona
2012,7,2.52,0.73,Arizona
2012,8,2.22,0.13,Arizona
2012,9,1.07,-0.11,Arizona
2012,10,0.25,-0.65,Arizona
2012,11,0.21,-0.64,Arizona
2012,12,1.46,0.29,Arizona
2013,1,1.3,0.17,Arizona
2013,2,0.51,-0.63,Arizona
2013,3,0.57,-0.54,Arizona
2013,4,0.2,-0.38,Arizona
2013,5,0.06,-0.28,Arizona
2013,6,0.03,-0.26,Arizona
2013,7,2.68,0.89,Arizona
2013,8,2.39,0.3,Arizona
2013,9,1.88,0.7,Arizona
2013,10,0.21,-0.69,Arizona
2013,11,1.86,1.01,Arizona
2013,12,0.44,-0.73,Arizona
2014,1,0.03,-1.1,Arizona
2014,2,0.16,-0.98,Arizona
2014,3,0.9,-0.21,Arizona
2014,4,0.24,-0.34,Arizona
2014,5,0.07,-0.27,Arizona
2014,6,0.01,-0.28,Arizona
2014,7,1.86,0.07,Arizona
2014,8,3.13,1.04,Arizona
2014,9,2.49,1.31,Arizona
2014,10,0.6,-0.3,Arizona
2014,11,0.11,-0.74,Arizona
2014,12,1.47,0.3,Arizona
2015,1,1.79,0.66,Arizona
2015,2,0.64,-0.5,Arizona
2015,3,1.12,0.01,Arizona
2015,4,0.42,-0.16,Arizona
2015,5,1,0.66,Arizona
2015,6,0.8,0.51,Arizona
2015,7,1.91,0.12,Arizona
2015,8,2.1,0.01,Arizona
2015,9,1.37,0.19,Arizona
2015,10,1.88,0.98,Arizona
2015,11,0.76,-0.09,Arizona
2015,12,0.6,-0.57,Arizona
2016,1,1.4,0.27,Arizona
2016,2,0.29,-0.85,Arizona
2016,3,0.11,-1,Arizona
2016,4,0.8,0.22,Arizona
2016,5,0.52,0.18,Arizona
2016,6,0.43,0.14,Arizona
2016,7,1.39,-0.4,Arizona
2016,8,2.57,0.48,Arizona
2016,9,1.35,0.17,Arizona
2016,10,0.35,-0.55,Arizona
2016,11,0.94,0.09,Arizona
2016,12,2.13,0.96,Arizona
2017,1,2.07,0.94,Arizona
2017,2,1.26,0.12,Arizona
2017,3,0.41,-0.7,Arizona
2017,4,0.19,-0.39,Arizona
2017,5,0.41,0.07,Arizona
2017,6,0.06,-0.23,Arizona
2017,7,2.89,1.1,Arizona
2017,8,1.39,-0.7,Arizona
2017,9,0.61,-0.57,Arizona
2017,10,0.03,-0.87,Arizona
2017,11,0.02,-0.83,Arizona
2017,12,0.13,-1.04,Arizona
2018,1,0.56,-0.57,Arizona
2018,2,1.07,-0.07,Arizona
2018,3,0.44,-0.67,Arizona
2018,4,0.04,-0.54,Arizona
2018,5,0.15,-0.19,Arizona
2018,6,0.33,0.04,Arizona
2018,7,2.59,0.8,Arizona
2018,8,2,-0.09,Arizona
2018,9,0.81,-0.37,Arizona
2018,10,2.7,1.8,Arizona
2018,11,0.27,-0.58,Arizona
2018,12,0.71,-0.46,Arizona
2019,1,1.5,0.37,Arizona
2019,2,2.74,1.6,Arizona
2019,3,1.22,0.11,Arizona
2019,4,0.3,-0.28,Arizona
2019,5,0.91,0.57,Arizona
2019,6,0.06,-0.23,Arizona
2019,7,0.79,-1,Arizona
2019,8,0.88,-1.21,Arizona
2019,9,1.68,0.5,Arizona
2019,10,0.02,-0.88,Arizona
2019,11,2.96,2.11,Arizona
2019,12,1.63,0.46,Arizona
2020,1,0.45,-0.68,Arizona
2020,2,1.1,-0.04,Arizona
2020,3,2.38,1.27,Arizona
2020,4,0.36,-0.22,Arizona
2020,5,0.11,-0.23,Arizona
2020,6,0.04,-0.25,Arizona
2020,7,0.71,-1.08,Arizona
2020,8,0.6,-1.49,Arizona
2020,9,0.11,-1.07,Arizona
2020,10,0.14,-0.76,Arizona
2020,11,0.27,-0.58,Arizona
2020,12,0.29,-0.88,Arizona
2010,1,3.92,-0.11,Arkansas
2010,2,3.32,-0.42,Arkansas
2010,3,2.99,-1.76,Arkansas
2010,4,3.06,-1.98,Arkansas
2010,5,6.2,1.06,Arkansas
2010,6,2.61,-1.5,Arkansas
2010,7,4.46,0.75,Arkansas
2010,8,1.73,-1.64,Arkansas
2010,9,3.3,-0.3,Arkansas
2010,10,1.31,-2.16,Arkansas
2010,11,4.35,0.06,Arkansas
2010,12,1.54,-2.81,Arkansas
2011,1,1.6,-2.43,Arkansas
2011,2,4.12,0.38,Arkansas
2011,3,2.8,-1.95,Arkansas
2011,4,10.6,5.56,Arkansas
2011,5,8.31,3.17,Arkansas
2011,6,1.67,-2.44,Arkansas
2011,7,2.03,-1.68,Arkansas
2011,8,4.26,0.89,Arkansas
2011,9,2.49,-1.11,Arkansas
2011,10,2.54,-0.93,Arkansas
2011,11,8.45,4.16,Arkansas
2011,12,6.97,2.62,Arkansas
2012,1,2.92,-1.11,Arkansas
2012,2,3.03,-0.71,Arkansas
2012,3,6.71,1.96,Arkansas
2012,4,2.56,-2.48,Arkansas
2012,5,1.47,-3.67,Arkansas
2012,6,1.98,-2.13,Arkansas
2012,7,2.82,-0.89,Arkansas
2012,8,4.37,1,Arkansas
2012,9,5.01,1.41,Arkansas
2012,10,3.29,-0.18,Arkansas
2012,11,1.74,-2.55,Arkansas
2012,12,3.91,-0.44,Arkansas
2013,1,6.04,2.01,Arkansas
2013,2,4.07,0.33,Arkansas
2013,3,3.51,-1.24,Arkansas
2013,4,5.23,0.19,Arkansas
2013,5,6.29,1.15,Arkansas
2013,6,3.32,-0.79,Arkansas
2013,7,4.04,0.33,Arkansas
2013,8,3.83,0.46,Arkansas
2013,9,3.47,-0.13,Arkansas
2013,10,4.84,1.37,Arkansas
2013,11,3.85,-0.44,Arkansas
2013,12,5.75,1.4,Arkansas
2014,1,1.98,-2.05,Arkansas
2014,2,2.67,-1.07,Arkansas
2014,3,4.66,-0.09,Arkansas
2014,4,5.54,0.5,Arkansas
2014,5,6.05,0.91,Arkansas
2014,6,6.24,2.13,Arkansas
2014,7,4.34,0.63,Arkansas
2014,8,2.89,-0.48,Arkansas
2014,9,2.42,-1.18,Arkansas
2014,10,5.43,1.96,Arkansas
2014,11,2.68,-1.61,Arkansas
2014,12,3.01,-1.34,Arkansas
2015,1,3.49,-0.54,Arkansas
2015,2,3.18,-0.56,Arkansas
2015,3,8.02,3.27,Arkansas
2015,4,5.75,0.71,Arkansas
2015,5,10.56,5.42,Arkansas
2015,6,3.99,-0.12,Arkansas
2015,7,4.92,1.21,Arkansas
2015,8,3.02,-0.35,Arkansas
2015,9,1.47,-2.13,Arkansas
2015,10,3.75,0.28,Arkansas
2015,11,10.72,6.43,Arkansas
2015,12,8.44,4.09,Arkansas
2016,1,2.02,-2.01,Arkansas
2016,2,2.43,-1.31,Arkansas
2016,3,9.89,5.14,Arkansas
2016,4,5.8,0.76,Arkansas
2016,5,4.54,-0.6,Arkansas
2016,6,3.1,-1.01,Arkansas
2016,7,4.82,1.11,Arkansas
2016,8,7.42,4.05,Arkansas
2016,9,1.8,-1.8,Arkansas
2016,10,1.58,-1.89,Arkansas
2016,11,3.28,-1.01,Arkansas
2016,12,3.76,-0.59,Arkansas
2017,1,3.02,-1.01,Arkansas
2017,2,2.76,-0.98,Arkansas
2017,3,4.56,-0.19,Arkansas
2017,4,8.74,3.7,Arkansas
2017,5,6.59,1.45,Arkansas
2017,6,4.24,0.13,Arkansas
2017,7,4.72,1.01,Arkansas
2017,8,6.3,2.93,Arkansas
2017,9,1.21,-2.39,Arkansas
2017,10,1.82,-1.65,Arkansas
2017,11,1.11,-3.18,Arkansas
2017,12,5.19,0.84,Arkansas
2018,1,2.7,-1.33,Arkansas
2018,2,11.81,8.07,Arkansas
2018,3,5.45,0.7,Arkansas
2018,4,5.06,0.02,Arkansas
2018,5,3.28,-1.86,Arkansas
2018,6,2.94,-1.17,Arkansas
2018,7,3.24,-0.47,Arkansas
2018,8,6.43,3.06,Arkansas
2018,9,5.32,1.72,Arkansas
2018,10,5.22,1.75,Arkansas
2018,11,5.11,0.82,Arkansas
2018,12,7.76,3.41,Arkansas
2019,1,4.51,0.48,Arkansas
2019,2,7.76,4.02,Arkansas
2019,3,3.98,-0.77,Arkansas
2019,4,8.25,3.21,Arkansas
2019,5,9.18,4.04,Arkansas
2019,6,6.12,2.01,Arkansas
2019,7,4.83,1.12,Arkansas
2019,8,4.51,1.14,Arkansas
2019,9,1.98,-1.62,Arkansas
2019,10,7.56,4.09,Arkansas
2019,11,4.66,0.37,Arkansas
2019,12,2.31,-2.04,Arkansas
2020,1,6.15,2.12,Arkansas
2020,2,5.79,2.05,Arkansas
2020,3,7.39,2.64,Arkansas
2020,4,6.11,1.07,Arkansas
2020,5,6.94,1.8,Arkansas
2020,6,4.67,0.56,Arkansas
2020,7,3.64,-0.07,Arkansas
2020,8,6.74,3.37,Arkansas
2020,9,5.65,2.05,Arkansas
2020,10,4.42,0.95,Arkansas
2020,11,1.94,-2.35,Arkansas
2020,12,4.38,0.03,Arkansas
2010,1,6.48,2.24,California
2010,2,3.65,-0.17,California
2010,3,2.19,-1.01,California
2010,4,3.47,1.83,California
2010,5,1.07,0.18,California
2010,6,0.26,-0.09,California
2010,7,0.07,-0.11,California
2010,8,0.1,-0.14,California
2010,9,0.16,-0.29,California
2010,10,3,1.79,California
2010,11,2.6,0.05,California
2010,12,8.13,4.53,California
2011,1,1.28,-2.96,California
2011,2,3.34,-0.48,California
2011,3,6.41,3.21,California
2011,4,1.1,-0.54,California
2011,5,1.44,0.55,California
2011,6,0.92,0.57,California
2011,7,0.22,0.04,California
2011,8,0.1,-0.14,California
2011,9,0.28,-0.17,California
2011,10,1.54,0.33,California
2011,11,1.69,-0.86,California
2011,12,0.47,-3.13,California
2012,1,3.12,-1.12,California
2012,2,1.22,-2.6,California
2012,3,4.74,1.54,California
2012,4,2.48,0.84,California
2012,5,0.2,-0.69,California
2012,6,0.32,-0.03,California
2012,7,0.26,0.08,California
2012,8,0.3,0.06,California
2012,9,0.1,-0.35,California
2012,10,0.99,-0.22,California
2012,11,3.57,1.02,California
2012,12,6.15,2.55,California
2013,1,1.19,-3.05,California
2013,2,0.58,-3.24,California
2013,3,1.33,-1.87,California
2013,4,0.71,-0.93,California
2013,5,0.62,-0.27,California
2013,6,0.38,0.03,California
2013,7,0.28,0.1,California
2013,8,0.38,0.14,California
2013,9,0.77,0.32,California
2013,10,0.26,-0.95,California
2013,11,0.99,-1.56,California
2013,12,0.44,-3.16,California
2014,1,0.54,-3.7,California
2014,2,4.02,0.2,California
2014,3,3.28,0.08,California
2014,4,1.06,-0.58,California
2014,5,0.35,-0.54,California
2014,6,0.06,-0.29,California
2014,7,0.22,0.04,California
2014,8,0.45,0.21,California
2014,9,0.72,0.27,California
2014,10,1.06,-0.15,California
2014,11,1.84,-0.71,California
2014,12,6.3,2.7,California
2015,1,0.65,-3.59,California
2015,2,2.86,-0.96,California
2015,3,0.78,-2.42,California
2015,4,1.06,-0.58,California
2015,5,0.93,0.04,California
2015,6,0.23,-0.12,California
2015,7,0.66,0.48,California
2015,8,0.08,-0.16,California
2015,9,0.33,-0.12,California
2015,10,0.9,-0.31,California
2015,11,1.87,-0.68,California
2015,12,4.69,1.09,California
2016,1,6.39,2.15,California
2016,2,1.21,-2.61,California
2016,3,4.88,1.68,California
2016,4,1.52,-0.12,California
2016,5,0.77,-0.12,California
2016,6,0.27,-0.08,California
2016,7,0.06,-0.12,California
2016,8,0.06,-0.18,California
2016,9,0.1,-0.35,California
2016,10,3.82,2.61,California
2016,11,2.16,-0.39,California
2016,12,4.49,0.89,California
2017,1,9.92,5.68,California
2017,2,7.94,4.12,California
2017,3,2.45,-0.75,California
2017,4,2.76,1.12,California
2017,5,0.43,-0.46,California
2017,6,0.26,-0.09,California
2017,7,0.09,-0.09,California
2017,8,0.27,0.03,California
2017,9,0.43,-0.02,California
2017,10,0.34,-0.87,California
2017,11,2.98,0.43,California
2017,12,0.3,-3.3,California
2018,1,3.33,-0.91,California
2018,2,0.57,-3.25,California
2018,3,5.12,1.92,California
2018,4,2.13,0.49,California
2018,5,0.66,-0.23,California
2018,6,0.07,-0.28,California
2018,7,0.22,0.04,California
2018,8,0.04,-0.2,California
2018,9,0.06,-0.39,California
2018,10,0.7,-0.51,California
2018,11,2.81,0.26,California
2018,12,2.38,-1.22,California
2019,1,5.23,0.99,California
2019,2,8.57,4.75,California
2019,3,4.05,0.85,California
2019,4,1.22,-0.42,California
2019,5,2.5,1.61,California
2019,6,0.09,-0.26,California
2019,7,0.08,-0.1,California
2019,8,0.13,-0.11,California
2019,9,0.61,0.16,California
2019,10,0.16,-1.05,California
2019,11,1.61,-0.94,California
2019,12,4.87,1.27,California
2020,1,2.06,-2.18,California
2020,2,0.21,-3.61,California
2020,3,3.19,-0.01,California
2020,4,1.99,0.35,California
2020,5,1.2,0.31,California
2020,6,0.16,-0.19,California
2020,7,0.05,-0.13,California
2020,8,0.1,-0.14,California
2020,9,0.04,-0.41,California
2020,10,0.05,-1.16,California
2020,11,1.19,-1.36,California
2020,12,1.83,-1.77,California
2010,1,0.88,-0.17,Colorado
2010,2,1.21,0.12,Colorado
2010,3,1.74,0.23,Colorado
2010,4,2.13,0.26,Colorado
2010,5,1.34,-0.67,Colorado
2010,6,1.35,-0.19,Colorado
2010,7,2.46,0.37,Colorado
2010,8,2.34,0.33,Colorado
2010,9,0.73,-0.7,Colorado
2010,10,1.41,0.07,Colorado
2010,11,0.95,-0.12,Colorado
2010,12,1.65,0.58,Colorado
2011,1,0.71,-0.34,Colorado
2011,2,1.17,0.08,Colorado
2011,3,1.16,-0.35,Colorado
2011,4,2.1,0.23,Colorado
2011,5,2.57,0.56,Colorado
2011,6,0.94,-0.6,Colorado
2011,7,2.54,0.45,Colorado
2011,8,1.6,-0.41,Colorado
2011,9,1.27,-0.16,Colorado
2011,10,1.66,0.32,Colorado
2011,11,0.99,-0.08,Colorado
2011,12,0.91,-0.16,Colorado
2012,1,0.69,-0.36,Colorado
2012,2,1.36,0.27,Colorado
2012,3,0.45,-1.06,Colorado
2012,4,1.38,-0.49,Colorado
2012,5,0.91,-1.1,Colorado
2012,6,0.42,-1.12,Colorado
2012,7,2.27,0.18,Colorado
2012,8,1.07,-0.94,Colorado
2012,9,1.29,-0.14,Colorado
2012,10,0.72,-0.62,Colorado
2012,11,0.44,-0.63,Colorado
2012,12,1.31,0.24,Colorado
2013,1,0.91,-0.14,Colorado
2013,2,0.89,-0.2,Colorado
2013,3,1.07,-0.44,Colorado
2013,4,1.67,-0.2,Colorado
2013,5,1.55,-0.46,Colorado
2013,6,0.66,-0.88,Colorado
2013,7,2.44,0.35,Colorado
2013,8,2.24,0.23,Colorado
2013,9,3.88,2.45,Colorado
2013,10,1.51,0.17,Colorado
2013,11,1.15,0.08,Colorado
2013,12,0.82,-0.25,Colorado
2014,1,1.18,0.13,Colorado
2014,2,1.18,0.09,Colorado
2014,3,1.15,-0.36,Colorado
2014,4,1.35,-0.52,Colorado
2014,5,2.15,0.14,Colorado
2014,6,1.19,-0.35,Colorado
2014,7,2.76,0.67,Colorado
2014,8,2.59,0.58,Colorado
2014,9,2.08,0.65,Colorado
2014,10,1.08,-0.26,Colorado
2014,11,1.12,0.05,Colorado
2014,12,1.31,0.24,Colorado
2015,1,0.65,-0.4,Colorado
2015,2,1.35,0.26,Colorado
2015,3,0.86,-0.65,Colorado
2015,4,1.88,0.01,Colorado
2015,5,5.3,3.29,Colorado
2015,6,1.91,0.37,Colorado
2015,7,2.37,0.28,Colorado
2015,8,1.67,-0.34,Colorado
2015,9,0.76,-0.67,Colorado
2015,10,1.82,0.48,Colorado
2015,11,1.69,0.62,Colorado
2015,12,1.47,0.4,Colorado
2016,1,1.02,-0.03,Colorado
2016,2,0.85,-0.24,Colorado
2016,3,1.28,-0.23,Colorado
2016,4,2.74,0.87,Colorado
2016,5,2.07,0.06,Colorado
2016,6,1.35,-0.19,Colorado
2016,7,1.64,-0.45,Colorado
2016,8,2.07,0.06,Colorado
2016,9,1,-0.43,Colorado
2016,10,0.49,-0.85,Colorado
2016,11,0.92,-0.15,Colorado
2016,12,1.65,0.58,Colorado
2017,1,2.29,1.24,Colorado
2017,2,1,-0.09,Colorado
2017,3,1.19,-0.32,Colorado
2017,4,2.17,0.3,Colorado
2017,5,2.82,0.81,Colorado
2017,6,0.69,-0.85,Colorado
2017,7,3.05,0.96,Colorado
2017,8,1.87,-0.14,Colorado
2017,9,1.98,0.55,Colorado
2017,10,0.93,-0.41,Colorado
2017,11,0.52,-0.55,Colorado
2017,12,0.4,-0.67,Colorado
2018,1,0.81,-0.24,Colorado
2018,2,1.13,0.04,Colorado
2018,3,0.9,-0.61,Colorado
2018,4,1.37,-0.5,Colorado
2018,5,1.54,-0.47,Colorado
2018,6,0.98,-0.56,Colorado
2018,7,2.11,0.02,Colorado
2018,8,1.45,-0.56,Colorado
2018,9,0.66,-0.77,Colorado
2018,10,2.39,1.05,Colorado
2018,11,0.87,-0.2,Colorado
2018,12,0.75,-0.32,Colorado
